"speciesFixed","category","kingdom","phylum","class","order","family","genus","total_obs","user_obs","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","Occurrence","species.ID","inat.iconic","source","species.common","species.science","phylum.common","phylum.science","class.common","class.science","order.common","order.science","family.common","family.science","genus.common","genus.science","inat.ID"
"Abronia latifolia","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Abronia",20,15,0,1,5,2,4,3,2,1,1,0,1,0,0,0,2,0,0,1,1,4,8,4,0,"Present","4776","Plantae","iNat","Yellow Sand Verbena","Abronia latifolia","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Dicots","Caryophyllales","Four O'Clocks","Nyctaginaceae","Sand verbenas","Abronia","52618"
"Abronia umbellata","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Abronia",3,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,"Present","6311","Plantae","iNat","Pink Sand Verbena","Abronia umbellata","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Dicots","Caryophyllales","Four O'Clocks","Nyctaginaceae","Sand verbenas","Abronia","53801"
"Acacia longifolia","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unconfirmed","18621","Plantae","iNat","Sydney golden wattle","Acacia longifolia","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Legumes and allies","Fabales","Legumes","Fabaceae","Thorntrees","Acacia","63379"
"Acacia melanoxylon","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably Present","5363","Plantae","iNat","Tasmanian Blackwood","Acacia melanoxylon","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Legumes and allies","Fabales","Legumes","Fabaceae","Thorntrees","Acacia","53344"
"Acacia verticillata","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably Present","11714","Plantae","iNat","Prickly Moses","Acacia verticillata","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Legumes and allies","Fabales","Legumes","Fabaceae","Thorntrees","Acacia","57037"
"Acaena pinnatifida","Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Acaena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","22632","Plantae","iNat","Argentinian biddy biddy","Acaena pinnatifida","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Roses and allies","Rosales","Rose family","Rosaceae","Bidibid","Acaena","61230"
"Acanthinucella spirata","Invertebrate","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","Acanthinucella",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,"2301646","Mollusca","iNat","Angular Unicorn","Acanthinucella spirata","Mollusks","Mollusca","Gastropods","Gastropoda","Gastropods","Neogastropoda","Murex Snails","Muricidae","Murex Snails","Acanthinucella","129931"
"Acanthogobius flavimanus","Fish","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Acanthogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","69479","Actinopterygii","iNat","Yellowfin Goby","Acanthogobius flavimanus","Chordates","Chordata","Ray-finned Fishes","Actinopterygii","Perch-like Fishes","Perciformes","Gobies","Gobiidae","Gobies","Acanthogobius","117563"
"Accipiter cooperii","Bird","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter",3,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,"Present","1284979","Aves","iNat","Cooper's Hawk","Accipiter cooperii","Chordates","Chordata","Birds","Aves","Hawks, Eagles, Vultures, and Allies","Accipitriformes","Hawks, Eagles, and Kites","Accipitridae","Accipiters","Accipiter","5112"
"Accipiter gentilis","Bird","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","69746","Aves","iNat","Northern Goshawk","Accipiter gentilis","Chordates","Chordata","Birds","Aves","Hawks, Eagles, Vultures, and Allies","Accipitriformes","Hawks, Eagles, and Kites","Accipitridae","Accipiters","Accipiter","5108"
"Accipiter striatus","Bird","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"Present","1638","Aves","iNat","Sharp-shinned Hawk","Accipiter striatus","Chordates","Chordata","Birds","Aves","Hawks, Eagles, Vultures, and Allies","Accipitriformes","Hawks, Eagles, and Kites","Accipitridae","Accipiters","Accipiter","5097"
"Acer macrophyllum","Plant","Plantae","Magnoliophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","1145","Plantae","iNat","Bigleaf Maple","Acer macrophyllum","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Maples, mangos, mahogany, citrus, and allies","Sapindales","Soapberry family","Sapindaceae","Maples","Acer","48227"
"Acer negundo","Plant","Plantae","Magnoliophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","4047157","Plantae","iNat","Boxelder","Acer negundo","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Maples, mangos, mahogany, citrus, and allies","Sapindales","Soapberry family","Sapindaceae","Maples","Acer","47726"
"Achillea millefolium","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Achillea",27,17,1,1,2,1,4,5,7,1,3,0,1,1,0,1,0,0,0,1,2,1,5,14,3,"Present","4902","Plantae","iNat","Common yarrow","Achillea millefolium","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Sunflowers and allies","Asterales","Aster family","Asteraceae","Yarrows","Achillea","52821"
"Acipenser medirostris","Fish","Animalia","Chordata","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","258202","Actinopterygii","iNat","Green Sturgeon","Acipenser medirostris","Chordates","Chordata","Ray-finned Fishes","Actinopterygii","Sturgeons and Paddlefishes","Acipenseriformes","Sturgeons","Acipenseridae","Sturgeons","Acipenser","93183"
"Acmispon americanus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",3,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,NA,"57049","Plantae","iNat","Spanish clover","Acmispon americanus","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Legumes and allies","Fabales","Legumes","Fabaceae","Deervetch","Acmispon","57053"
"Acmispon brachycarpus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","11716","Plantae","iNat","Foothill deervetch","Acmispon brachycarpus","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Legumes and allies","Fabales","Legumes","Fabaceae","Deervetch","Acmispon","57047"
"Acmispon glaber","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"Present","5247","Plantae","iNat","Deerweed","Acmispon glaber","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Legumes and allies","Fabales","Legumes","Fabaceae","Deervetch","Acmispon","53134"
"Acmispon heermannii","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"Present","75273","Plantae","iNat","Heermann's Lotus","Acmispon heermannii","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Legumes and allies","Fabales","Legumes","Fabaceae","Deervetch","Acmispon","75273"
"Acmispon junceus","Plant","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","264047","Plantae","iNat","Rush Broom","Acmispon junceus","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Legumes and allies","Fabales","Legumes","Fabaceae","Deervetch","Acmispon","75274"
"Acmispon parviflorus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","3312543","Plantae","iNat","Short-flower Deervetch","Acmispon parviflorus","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Legumes and allies","Fabales","Legumes","Fabaceae","Deervetch","Acmispon","57048"
"Acmispon strigosus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","70233","Plantae","iNat","Strigose lotus","Acmispon strigosus","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Legumes and allies","Fabales","Legumes","Fabaceae","Deervetch","Acmispon","75281"
"Acmispon wrangelianus","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acmispon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","20087","Plantae","iNat","Chile trefoil","Acmispon wrangelianus","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Legumes and allies","Fabales","Legumes","Fabaceae","Deervetch","Acmispon","57050"
"Acroneuria","Invertebrate","Animalia","Arthropoda","Insecta","Plecoptera","Perlidae","Acroneuria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","212415","Insecta","iNat","Boreal Stone","Acroneuria lycorias","Arthropods","Arthropoda","Insects","Insecta","Stoneflies","Plecoptera","Common Stoneflies","Perlidae","Animals","Acroneuria","172733"
"Acronicta spinea","Invertebrate","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,"757490","Insecta}}]","iNat","Animals","Acronicta spinea","Arthropods","Arthropoda","Insects","Insecta","Butterflies and Moths","Lepidoptera","Noctuid Moths","Noctuidae","Dagger Moths","Acronicta","349742"
"Actinemys marmorata","Herp","Animalia","Chordata","Reptilia","Testudines","Emydidae","Actinemys",2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"Present","1661","Reptilia","iNat","Western Pond Turtle","Actinemys marmorata","Chordates","Chordata","Reptiles","Reptilia","Turtles and Tortoises","Testudines","Pond and Box Turtles","Emydidae","Northern Pacific Pond Turtle","Actinemys","73592"
"Actitis macularia","Bird","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","815340","Aves","iNat","Spotted Sandpiper","Actitis macularius","Chordates","Chordata","Birds","Aves","Shorebirds","Charadriiformes","Sandpipers and Allies","Scolopacidae","Sandpipers and Allies","Actitis","72458"
"Adenocaulon bicolor","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Adenocaulon",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Present","3471018","Plantae","iNat","American trailplant","Adenocaulon bicolor","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Sunflowers and allies","Asterales","Aster family","Asteraceae","Trailplants","Adenocaulon","56854"
"Adenostoma fasciculatum","Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Adenostoma",2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"Probably Present","9476","Plantae","iNat","Chamise","Adenostoma fasciculatum","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Roses and allies","Rosales","Rose family","Rosaceae","Rose family","Adenostoma","47146"
"Adiantum aleuticum","Plant","Plantae","Pteridophyta","Filicopsida","Polypodiales","Pteridaceae","Adiantum",5,5,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,"Present","4838","Plantae","iNat","Western maidenhair fern","Adiantum aleuticum","Ferns","Pteridophyta","Leptosporangiate ferns","Filicopsida","Leptosporangiate ferns","Polypodiales","Brake Family","Pteridaceae","Maidenhair ferns","Adiantum","52667"
"Adiantum jordanii","Plant","Plantae","Pteridophyta","Filicopsida","Polypodiales","Pteridaceae","Adiantum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","10294","Plantae","iNat","California Maidenhair Fern","Adiantum jordanii","Ferns","Pteridophyta","Leptosporangiate ferns","Filicopsida","Leptosporangiate ferns","Polypodiales","Brake Family","Pteridaceae","Maidenhair ferns","Adiantum","56032"
"Aechmophorus clarkii","Bird","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Aechmophorus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","1087","Aves","iNat","Clark's Grebe","Aechmophorus clarkii","Chordates","Chordata","Birds","Aves","Grebes","Podicipediformes","Grebes","Podicipedidae","Grebes","Aechmophorus","4234"
"Aechmophorus occidentalis","Bird","Animalia","Chordata","Aves","Podicipediformes","Podicipedidae","Aechmophorus",2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"Present","1657","Aves","iNat","Western Grebe","Aechmophorus occidentalis","Chordates","Chordata","Birds","Aves","Grebes","Podicipediformes","Grebes","Podicipedidae","Grebes","Aechmophorus","4235"
"Aegolius acadicus","Bird","Animalia","Chordata","Aves","Strigiformes","Strigidae","Aegolius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","1107","Aves","iNat","Northern Saw-whet Owl","Aegolius acadicus","Chordates","Chordata","Birds","Aves","Owls","Strigiformes","Typical Owls","Strigidae","Typical Owls","Aegolius","20356"
"Aeronautes saxatalis","Bird","Animalia","Chordata","Aves","Caprimulgiformes","Apodidae","Aeronautes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","23478","Aves","iNat","White-throated Swift","Aeronautes saxatalis","Chordates","Chordata","Birds","Aves","Nightjars, Swifts, Hummingbirds, and Allies","Caprimulgiformes","Swifts","Apodidae","Swifts","Aeronautes","6553"
"Aesculus californica","Plant","Plantae","Magnoliophyta","Magnoliopsida","Sapindales","Sapindaceae","Aesculus",5,5,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,"Present","5365","Plantae","iNat","California Buckeye","Aesculus californica","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Maples, mangos, mahogany, citrus, and allies","Sapindales","Soapberry family","Sapindaceae","Buckeyes & horse chestnuts","Aesculus","53348"
"Aethia cristatella","Bird","Animalia","Chordata","Aves","Charadriiformes","Alcidae","Aethia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","17698","Aves","iNat","Crested Auklet","Aethia cristatella","Chordates","Chordata","Birds","Aves","Shorebirds","Charadriiformes","Auks, Murres, and Puffins","Alcidae","Typical Auklets","Aethia","4542"
"Aethia psittacula","Bird","Animalia","Chordata","Aves","Charadriiformes","Alcidae","Aethia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unconfirmed","22747","Aves","iNat","Parakeet Auklet","Aethia psittacula","Chordates","Chordata","Birds","Aves","Shorebirds","Charadriiformes","Auks, Murres, and Puffins","Alcidae","Typical Auklets","Aethia","4543"
"Agapetus","Invertebrate","Animalia","Arthropoda","Insecta","Trichoptera","Glossosomatidae","Agapetus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","212686","Insecta}]}]}.results[0]","iNat","Caddisflies","Agapetus pinatus","Arthropods","Arthropoda","Insects","Insecta","Caddisflies","Trichoptera","Caddisflies","Glossosomatidae","Animals","Agapetus","172802"
"Agaricus augustus","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,"3494","Fungi","iNat","The Prince","Agaricus augustus","The Prince","Basidiomycota","Agaricomycetes","Agaricomycetes","Gilled mushrooms","Agaricales","Agaricaceae","Agaricaceae","Agaricaceae","Agaricus","49547"
"Agaricus xanthodermus","Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus",2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,NA,"5518223","Fungi","iNat","Yellowing Mushroom","Agaricus xanthoderma [as 'xanthodermus']","Yellowing Mushroom","Basidiomycota","Agaricomycetes","Agaricomycetes","Gilled mushrooms","Agaricales","Agaricaceae","Agaricaceae","Agaricaceae","Agaricus","411041"
"Agave americana","Plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Asparagaceae","Agave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","4578962","Plantae","iNat","Century Plant","Agave americana","Flowering plants","Magnoliophyta","Monocots","Liliopsida","Agaves and allies","Asparagales","Asparagus family","Asparagaceae","Century Plants","Agave","64103"
"Agelaius phoeniceus","Bird","Animalia","Chordata","Aves","Passeriformes","Icteridae","Agelaius",5,4,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,0,"Present","28025","Aves","iNat","Red-winged Blackbird","Agelaius phoeniceus","Chordates","Chordata","Birds","Aves","Perching Birds","Passeriformes","New World Blackbirds and Orioles","Icteridae","New World Blackbirds and Orioles","Agelaius","9744"
"Agelaius tricolor","Bird","Animalia","Chordata","Aves","Passeriformes","Icteridae","Agelaius",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"Present","5581","Aves","iNat","Tricolored Blackbird","Agelaius tricolor","Chordates","Chordata","Birds","Aves","Perching Birds","Passeriformes","New World Blackbirds and Orioles","Icteridae","New World Blackbirds and Orioles","Agelaius","9743"
"Agoseris apargioides","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Agoseris",12,10,0,0,2,0,4,3,1,1,0,0,1,0,0,0,1,0,0,2,0,3,2,4,0,"Present","23309","Plantae","iNat","Seaside agoseris","Agoseris apargioides","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Sunflowers and allies","Asterales","Aster family","Asteraceae","Mountain dandelion","Agoseris","58801"
"Agoseris grandiflora","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Agoseris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","41350","Plantae","iNat","Bigflower agoseris","Agoseris grandiflora","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Sunflowers and allies","Asterales","Aster family","Asteraceae","Mountain dandelion","Agoseris","52828"
"Agoseris heterophylla","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Agoseris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unconfirmed","32204","Plantae","iNat","Mountain dandelion","Agoseris heterophylla","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Sunflowers and allies","Asterales","Aster family","Asteraceae","Mountain dandelion","Agoseris","56856"
"Agrostis avenacea","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Agrostis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","596040","Plantae","iNat","Pacific bent grass","Agrostis avenacea","Flowering plants","Magnoliophyta","Monocots","Liliopsida","Grasses and allies","Poales","Grasses","Poaceae","Bent grass","Agrostis","60273"
"Agrostis blasdalei","Plant","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","1165538","Plantae","iNat","Blasdale's bent grass","Agrostis blasdalei","Flowering plants","Magnoliophyta","Monocots","Liliopsida","Grasses and allies","Poales","Grasses","Poaceae","Bent grass","Agrostis","75311"
"Agrostis capillaris","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Agrostis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","324355","Plantae","iNat","Colonial bent","Agrostis capillaris","Flowering plants","Magnoliophyta","Monocots","Liliopsida","Grasses and allies","Poales","Grasses","Poaceae","Bent grass","Agrostis","75312"
"Agrostis densiflora","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Agrostis",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Probably Present","917984","Plantae}}]","iNat","Plants","Agrostis densiflora","Flowering plants","Magnoliophyta","Monocots","Liliopsida","Grasses and allies","Poales","Grasses","Poaceae","Bent grass","Agrostis","61059"
"Agrostis exarata","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Agrostis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","421386","Plantae","iNat","Pacific bentgrass","Agrostis exarata","Flowering plants","Magnoliophyta","Monocots","Liliopsida","Grasses and allies","Poales","Grasses","Poaceae","Bent grass","Agrostis","59088"
"Agrostis hallii","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Agrostis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","931343","Plantae","iNat","Hall's bent grass","Agrostis hallii","Flowering plants","Magnoliophyta","Monocots","Liliopsida","Grasses and allies","Poales","Grasses","Poaceae","Bent grass","Agrostis","57155"
"Agrostis microphylla","Plant","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","703573","Plantae","iNat","Small-leaf Bentgrass","Agrostis microphylla","Flowering plants","Magnoliophyta","Monocots","Liliopsida","Grasses and allies","Poales","Grasses","Poaceae","Bent grass","Agrostis","60277"
"Agrostis pallens","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Agrostis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","142733","Plantae","iNat","Seashore bentgrass","Agrostis pallens","Flowering plants","Magnoliophyta","Monocots","Liliopsida","Grasses and allies","Poales","Grasses","Poaceae","Bent grass","Agrostis","52692"
"Agrostis stolonifera","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Agrostis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","142732","Plantae","iNat","Creeping Bent","Agrostis stolonifera","Flowering plants","Magnoliophyta","Monocots","Liliopsida","Grasses and allies","Poales","Grasses","Poaceae","Bent grass","Agrostis","69931"
"Ahnfeltiopsis linearis","Plant","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Phyllophoraceae","Ahnfeltiopsis",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA,"1424235","Plantae}}]","iNat","Plants","Ahnfeltiopsis linearis","Red Algae","Rhodophyta","Red Algae","Florideophyceae","Red Algae","Gigartinales","Red Algae","Phyllophoraceae","Red Algae","Ahnfeltiopsis","339044"
"Aimophila ruficeps","Bird","Animalia","Chordata","Aves","Passeriformes","Emberizidae","Aimophila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","11241","Aves","iNat","Rufous-crowned Sparrow","Aimophila ruficeps","Chordates","Chordata","Birds","Aves","Perching Birds","Passeriformes","Buntings and New World Sparrows","Emberizidae","Southern California Rufous-crowned Sparrow","Aimophila","9958"
"Aira caryophyllea","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Aira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","119186","Plantae","iNat","Silver Hairgrass","Aira caryophyllea","Flowering plants","Magnoliophyta","Monocots","Liliopsida","Grasses and allies","Poales","Grasses","Poaceae","Hair Grass","Aira","52694"
"Aira praecox","Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Aira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","364296","Plantae","iNat","Early hair grass","Aira praecox","Flowering plants","Magnoliophyta","Monocots","Liliopsida","Grasses and allies","Poales","Grasses","Poaceae","Hair Grass","Aira","61058"
