"decimalLongitude","decimalLatitude","category","kingdom","phylum","class","order","family","genus","speciesFixed","year","month","original.inat.taxonID"
-122.9189071655,38.0638008118,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Mentha","Mentha pulegium",2010,8,57116
-122.9492034912,38.179977417,"Mammal","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Cervus","Cervus elaphus",2010,11,117767
-122.9376983643,38.1642570496,"Bird","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus corax",2010,11,8010
-122.9335784912,38.124835968,"Bird","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo jamaicensis",2010,11,5212
-122.91847229,38.0704612732,"Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Amanita muscaria",2010,11,48715
-122.8658591,38.0705092,"Bird","Animalia","Chordata","Aves","Accipitriformes","Cathartidae","Cathartes","Cathartes aura",2008,7,4756
-122.8658591,38.0705092,"Bird","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus","Circus cyaneus",2008,7,5170
-122.9969423,38.0013176,"Bird","Animalia","Chordata","Aves","Charadriiformes","Laridae","Hydroprogne","Hydroprogne caspia",2008,7,144537
-122.9969423,38.0013176,"Bird","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Tachycineta","Tachycineta thalassina",2008,7,11931
-122.9532659054,38.1190982466,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Abronia","Abronia latifolia",2009,7,52618
-122.9455277324,38.1185470673,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Anaphalis","Anaphalis margaritacea",2010,7,52833
-122.9513561726,38.1177646055,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Saxifragales","Crassulaceae","Dudleya","Dudleya farinosa",2010,7,51889
-122.9437091947,38.1188509338,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Mentha","Mentha arvensis",2010,7,58188
-122.9513776302,38.1195709237,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Potentilla","Potentilla anserina",2009,7,62216
-122.9493874311,38.1186323189,"Bird","Animalia","Chordata","Aves","Accipitriformes","Cathartidae","Cathartes","Cathartes aura",2010,7,4756
-122.951259,38.119297,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Agoseris","Agoseris apargioides",2009,7,58801
-122.9493498802,38.1183689672,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Gentianales","Gentianaceae","Gentiana","Gentiana affinis",2009,7,67805
-122.9369688034,38.1234838971,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium","Cirsium occidentale",2009,7,52621
-122.9440069199,38.1187234788,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Stachys","Stachys chamissonis",2010,7,52625
-122.9531478882,38.1185040194,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Grindelia","Grindelia stricta",2009,7,61992
-122.946023941,38.1187403603,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Horkelia","Horkelia californica",2009,7,61737
-122.9517316818,38.119381853,"Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Polypogon","Polypogon monspeliensis",2009,7,57197
-122.9461151361,38.1187504893,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Horkelia","Horkelia californica",2010,7,61737
-122.9512542486,38.119316016,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Artemisia","Artemisia pycnocephala",2010,7,60952
-122.9515063763,38.1192636837,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Boraginales","Boraginaceae","Heliotropium","Heliotropium curassavicum",2009,7,58058
-122.9486471415,38.1189699479,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Monardella","Monardella villosa",2009,7,52181
-122.9507285357,38.1186998449,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Orobanchaceae","Castilleja","Castilleja affinis",2009,7,50042
