"Accepted Symbol","Synonym Symbol","Scientific Name","Genus","Family","Family Common Name","Order","Class","Division","Kingdom"
"KARWI","","Karwinskia","Karwinskia","Rhamnaceae","Buckthorn family","Rhamnales","Magnoliopsida","Magnoliophyta","Plantae"
"KECKI","","Keckiella","Keckiella","Scrophulariaceae","Figwort family","Scrophulariales","Magnoliopsida","Magnoliophyta","Plantae"
"KELLO","","Kelloggia","Kelloggia","Rubiaceae","Madder family","Rubiales","Magnoliopsida","Magnoliophyta","Plantae"
"KELSE","","Kelseya","Kelseya","Rosaceae","Rose family","Rosales","Magnoliopsida","Magnoliophyta","Plantae"
"KENNE","","Kennedia","Kennedia","Fabaceae","Pea family","Fabales","Magnoliopsida","Magnoliophyta","Plantae"
"KERRI","","Kerria","Kerria","Rosaceae","Rose family","Rosales","Magnoliopsida","Magnoliophyta","Plantae"
"KETEL","","Keteleeria","Keteleeria","Pinaceae","Pine family","Pinales","Pinopsida","Coniferophyta","Plantae"
"KEYSS2","","Keysseria","Keysseria","Asteraceae","Aster family","Asterales","Magnoliopsida","Magnoliophyta","Plantae"
"KHAYA2","","Khaya","Khaya","Meliaceae","Mahogany family","Sapindales","Magnoliopsida","Magnoliophyta","Plantae"
"KIAER","","Kiaeria","Kiaeria","Dicranaceae","","Dicranales","Bryopsida","Bryophyta","Plantae"
"KICKX","","Kickxia","Kickxia","Scrophulariaceae","Figwort family","Scrophulariales","Magnoliopsida","Magnoliophyta","Plantae"
"KIGEL","","Kigelia","Kigelia","Bignoniaceae","Trumpet-creeper family","Scrophulariales","Magnoliopsida","Magnoliophyta","Plantae"
"KIRSC","","Kirschsteiniothelia","Kirschsteiniothelia","Pleosporaceae","","Pleosporales","Ascomycetes","Ascomycota","Fungi"
